open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1612137600000,33092.97000000,33106.33000000,32777.14000000,32869.04000000,487.61332500,1612137899999,16060257.89940348,12171,179.77494300,5918123.77349151,0
1612137900000,32866.41000000,32868.46000000,32464.24000000,32576.60000000,727.31094700,1612138199999,23730560.04221004,14776,283.23627800,9238523.70322728,0
1612138200000,32580.67000000,32663.48000000,32545.02000000,32591.86000000,373.35581500,1612138499999,12173016.18323718,8163,139.93479000,4562684.21773590,0
1612138500000,32591.87000000,32646.40000000,32300.00000000,32466.21000000,554.78292200,1612138799999,18008897.50942448,11846,299.11764400,9710702.49326508,0
1612138800000,32466.20000000,32574.30000000,32330.64000000,32426.49000000,439.94503200,1612139099999,14275365.29812640,10034,246.95088800,8012312.85130727,0
1612139100000,32424.10000000,32459.16000000,32296.16000000,32418.85000000,351.41628400,1612139399999,11373565.22443580,8741,173.55378100,5617258.89660963,0
1612139400000,32417.59000000,32477.52000000,32336.11000000,32449.10000000,247.59331900,1612139699999,8024043.13475899,6946,143.13503300,4638365.90785059,0
1612139700000,32449.10000000,32559.86000000,32431.35000000,32485.40000000,232.58421100,1612139999999,7559535.27467290,5555,124.96122800,4061647.32129262,0
1612140000000,32485.39000000,32629.00000000,32458.74000000,32566.09000000,356.84390900,1612140299999,11616168.83454335,7114,174.10208400,5668717.82154141,0
1612140300000,32567.72000000,32587.95000000,32500.29000000,32514.34000000,240.92879500,1612140599999,7838652.99030329,4658,110.98313100,3610802.81779672,0
1612140600000,32514.35000000,32549.70000000,32436.79000000,32510.92000000,206.77745900,1612140899999,6717441.30009790,4747,123.50667900,4012423.30905945,0
1612140900000,32512.76000000,32555.00000000,32490.00000000,32546.27000000,164.77410400,1612141199999,5359659.01929017,4012,75.34359000,2450771.19399851,0
1612141200000,32546.32000000,32577.60000000,32476.34000000,32573.04000000,180.46792600,1612141499999,5872975.25984718,4204,91.98472000,2993800.53278992,0
1612141500000,32575.66000000,32602.76000000,32505.01000000,32602.76000000,175.46385600,1612141799999,5713829.33320379,3890,71.22725600,2319607.87027611,0
1612141800000,32602.75000000,32655.19000000,32553.17000000,32652.87000000,181.71779200,1612142099999,5924967.76901835,4250,92.14243700,3004583.09036400,0
1612142100000,32652.88000000,32660.40000000,32579.01000000,32580.34000000,113.77941200,1612142399999,3711746.15180028,3745,58.72519000,1915713.01201147,0
1612142400000,32580.33000000,32949.09000000,32543.33000000,32939.05000000,373.86296700,1612142699999,12257940.56569137,8758,253.24802300,8303598.28438319,0
1612142700000,32940.76000000,32981.90000000,32900.99000000,32907.15000000,236.75330700,1612142999999,7798160.66040922,5386,108.85754500,3585716.81971228,0
1612143000000,32905.63000000,32965.73000000,32789.95000000,32920.00000000,303.86413200,1612143299999,9988239.84437479,6167,142.80352600,4692401.26914630,0
1612143300000,32920.00000000,33212.54000000,32920.00000000,33175.56000000,427.95295600,1612143599999,14168883.57804430,8902,241.65614100,7997543.85113050,0
1612143600000,33175.56000000,33474.77000000,33139.76000000,33470.67000000,583.57065800,1612143899999,19477190.05072098,11355,303.19503400,10117674.94259374,0
1612143900000,33470.67000000,33560.90000000,33303.31000000,33368.26000000,524.99210300,1612144199999,17555019.00375690,9471,284.07785500,9501155.01415980,0
1612144200000,33368.26000000,33523.00000000,33368.26000000,33405.01000000,304.02487600,1612144499999,10164985.16773519,5812,177.06791200,5920133.67196523,0
1612144500000,33405.00000000,33478.57000000,33379.43000000,33430.29000000,307.19950700,1612144799999,10267628.26406716,4923,133.70613500,4468548.71632135,0
1612144800000,33425.19000000,33440.96000000,33222.88000000,33259.60000000,292.13394800,1612145099999,9734901.60776503,6679,157.06675600,5234092.00283196,0
1612145100000,33259.60000000,33469.35000000,33229.67000000,33400.00000000,283.25848100,1612145399999,9451286.76214146,5269,167.61425300,5591811.64077097,0
1612145400000,33400.01000000,33473.17000000,33350.04000000,33421.86000000,145.51173600,1612145699999,4860971.20948265,4007,63.49543300,2121111.75068293,0
1612145700000,33421.36000000,33795.00000000,33414.27000000,33671.01000000,620.77966100,1612145999999,20890452.57280123,12645,424.37104200,14278602.71418724,0
1612146000000,33670.69000000,33830.00000000,33670.69000000,33679.35000000,469.58803200,1612146299999,15859274.68717765,7549,223.48357900,7546640.94236210,0
1612146300000,33679.35000000,33730.00000000,33529.41000000,33553.38000000,374.54693100,1612146599999,12598125.29754693,6106,190.87945600,6422268.87730345,0
1612146600000,33554.94000000,33707.99000000,33514.50000000,33539.16000000,434.86639100,1612146899999,14610354.45579199,7206,230.95473400,7757023.09783765,0
1612146900000,33539.16000000,33629.29000000,33536.29000000,33557.51000000,181.25570400,1612147199999,6084560.48367349,3760,100.40263900,3370365.68425715,0
1612147200000,33557.50000000,33629.99000000,33487.70000000,33510.73000000,305.35237600,1612147499999,10249612.02073588,4501,163.36005300,5483039.81406439,0
1612147500000,33510.74000000,33648.32000000,33510.74000000,33643.16000000,166.43065600,1612147799999,5592138.42163066,3902,92.14458000,3096056.14797990,0
1612147800000,33643.16000000,33698.87000000,33513.60000000,33602.35000000,228.69334400,1612148099999,7688625.17251444,4561,115.16599000,3871795.82517960,0
1612148100000,33602.34000000,33724.27000000,33594.60000000,33649.73000000,192.51436900,1612148399999,6481340.28516305,4011,97.33209800,3275819.78360817,0
1612148400000,33646.37000000,33740.22000000,33545.12000000,33545.12000000,189.50783500,1612148699999,6375889.28833112,4806,96.37737200,3243141.22818604,0
1612148700000,33545.13000000,33644.27000000,33542.05000000,33624.55000000,170.25398000,1612148999999,5719704.56421686,3133,82.57711400,2774380.12525667,0
1612149000000,33624.55000000,33631.17000000,33561.28000000,33600.00000000,170.15705000,1612149299999,5716216.39073969,3001,77.10241100,2589973.89056735,0
1612149300000,33599.99000000,33650.00000000,33525.18000000,33625.22000000,156.52607800,1612149599999,5259044.06163217,3749,60.42454600,2030228.48126863,0
1612149600000,33625.22000000,33696.15000000,33500.13000000,33539.11000000,286.11301600,1612149899999,9611115.21393314,7492,157.13008700,5278168.65725080,0
1612149900000,33539.15000000,33581.66000000,33470.00000000,33529.67000000,297.00165700,1612150199999,9958318.65437709,7026,157.28290900,5273995.87633282,0
1612150200000,33527.98000000,33610.38000000,33520.01000000,33610.38000000,227.13398100,1612150499999,7626276.39470614,5556,123.09872400,4133311.31851245,0
1612150500000,33610.38000000,33760.00000000,33575.73000000,33687.37000000,305.55859000,1612150799999,10290635.61668795,6893,168.07471900,5661029.46169980,0
1612150800000,33687.38000000,33776.81000000,33635.23000000,33635.23000000,339.31623500,1612151099999,11442725.73258476,7061,174.82027800,5895203.98051740,0
1612151100000,33635.23000000,33723.70000000,33628.04000000,33636.26000000,331.32723400,1612151399999,11156100.51109089,6704,194.79304500,6558825.43344039,0
1612151400000,33636.25000000,33645.28000000,33536.52000000,33590.77000000,254.70713100,1612151699999,8553601.67373126,6034,133.74925000,4491686.12507887,0
1612151700000,33590.78000000,33629.04000000,33550.46000000,33573.97000000,154.53900800,1612151999999,5189235.48028726,4012,76.73426100,2576717.78571087,0
1612152000000,33573.25000000,33690.00000000,33423.43000000,33570.10000000,354.38277300,1612152299999,11887245.19431623,7780,168.68826600,5658794.27341856,0
1612152300000,33570.11000000,33796.39000000,33570.10000000,33635.52000000,331.57418900,1612152599999,11175134.94938016,7828,182.35361900,6145067.08756342,0
1612152600000,33635.52000000,33697.70000000,33589.85000000,33695.14000000,150.16064300,1612152899999,5053451.86016239,5179,76.97065800,2589983.54094015,0
1612152900000,33695.15000000,33775.19000000,33640.66000000,33765.31000000,188.84554200,1612153199999,6368006.16697125,6350,88.60533700,2987399.64348750,0
1612153200000,33764.32000000,33940.00000000,33745.51000000,33886.93000000,571.72546800,1612153499999,19346157.98222333,11501,370.67810700,12545327.82704915,0
1612153500000,33888.20000000,33943.55000000,33708.70000000,33738.87000000,340.63042000,1612153799999,11516853.85251166,7607,203.78388000,6889696.92242623,0
1612153800000,33738.88000000,33767.92000000,33603.66000000,33616.74000000,219.70869600,1612154099999,7397410.35843072,7081,103.07204500,3470647.42523834,0
1612154100000,33616.73000000,33684.71000000,33594.09000000,33600.36000000,201.75955000,1612154399999,6785788.35255433,6208,123.83083400,4164851.67145455,0
1612154400000,33600.36000000,33642.85000000,33570.00000000,33612.83000000,238.17298900,1612154699999,8002631.96738338,6425,114.17489800,3835990.36327433,0
1612154700000,33612.84000000,33621.00000000,33520.83000000,33559.99000000,165.52542700,1612154999999,5560538.44157037,5614,88.06348600,2958484.65973712,0
1612155000000,33560.00000000,33615.38000000,33525.08000000,33587.97000000,186.51630100,1612155299999,6262197.06157112,5570,79.03433100,2653502.03817665,0
1612155300000,33587.98000000,33637.88000000,33540.00000000,33558.25000000,257.05233000,1612155599999,8629771.23262150,5233,140.37714000,4712697.98670473,0
1612155600000,33560.91000000,33571.95000000,33498.11000000,33537.35000000,318.20814800,1612155899999,10669494.56904827,6061,177.19868000,5940815.51280604,0
1612155900000,33537.35000000,33620.00000000,33537.35000000,33619.99000000,219.04946000,1612156199999,7355138.35971775,6802,123.17057700,4135725.91985032,0
1612156200000,33620.00000000,33700.00000000,33542.28000000,33579.03000000,216.95470500,1612156499999,7291613.33196952,6029,106.99877700,3596435.25832951,0
1612156500000,33581.30000000,33581.30000000,33442.56000000,33461.85000000,207.43802700,1612156799999,6948536.03853912,6249,99.61176400,3336710.91051031,0
1612156800000,33461.85000000,33533.32000000,33455.19000000,33482.51000000,174.92524800,1612157099999,5857236.21236881,6197,95.64262300,3202434.50530535,0
1612157100000,33483.60000000,33595.26000000,33429.36000000,33553.82000000,236.45244900,1612157399999,7925875.99895681,7157,124.06322700,4159444.01837086,0
1612157400000,33553.82000000,33655.00000000,33550.32000000,33618.23000000,201.09196100,1612157699999,6757203.72342581,6345,107.74290900,3620698.64523971,0
1612157700000,33618.22000000,33693.71000000,33581.66000000,33648.66000000,233.64856300,1612157999999,7859490.08107922,6420,137.81865900,4635783.51534792,0
1612158000000,33648.66000000,33680.00000000,33594.65000000,33647.24000000,166.95182200,1612158299999,5616381.72161595,5490,95.40684800,3209423.61753973,0
1612158300000,33647.20000000,33816.73000000,33644.75000000,33709.93000000,238.26209900,1612158599999,8040070.73867589,7961,148.59220000,5013960.57118659,0
