open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1601510400000,10776.59000000,10826.19000000,10776.59000000,10811.29000000,536.91555800,1601510699999,5799183.88918625,5488,329.85551900,3562927.49465762,0
1601510700000,10811.29000000,10825.16000000,10808.22000000,10812.83000000,285.34318100,1601510999999,3086428.42687157,3399,133.23554300,1441079.71261599,0
1601511000000,10812.84000000,10816.17000000,10805.48000000,10807.29000000,252.24551000,1601511299999,2726677.74381842,1966,85.04241400,919256.60493893,0
1601511300000,10807.29000000,10815.74000000,10795.90000000,10802.23000000,190.00544400,1601511599999,2052948.28750758,2476,82.12704100,887365.17281598,0
1601511600000,10802.24000000,10817.06000000,10797.43000000,10817.05000000,83.00474600,1601511899999,897017.70128653,1574,45.25360300,489073.23451882,0
1601511900000,10817.06000000,10817.25000000,10795.95000000,10797.43000000,132.38671400,1601512199999,1430829.91282368,1929,34.53179400,373090.71687766,0
1601512200000,10797.44000000,10808.11000000,10794.71000000,10796.62000000,172.38222600,1601512499999,1861794.98620019,2190,91.61264400,989481.62158576,0
1601512500000,10796.61000000,10799.61000000,10786.48000000,10790.42000000,126.60820500,1601512799999,1366275.87284160,2102,57.35453100,618974.97019747,0
1601512800000,10790.43000000,10796.43000000,10787.30000000,10793.43000000,114.58564100,1601513099999,1236597.50316809,1745,55.44644600,598398.20293284,0
1601513100000,10793.42000000,10798.13000000,10788.94000000,10792.65000000,92.21428600,1601513399999,995185.22304136,1416,53.31651700,575369.37165798,0
1601513400000,10792.65000000,10796.52000000,10790.35000000,10795.04000000,54.94764700,1601513699999,593085.67592830,1113,24.02462800,259323.76694190,0
1601513700000,10795.04000000,10796.03000000,10780.09000000,10788.06000000,88.12037300,1601513999999,950680.62789556,1391,40.09863500,432577.51933623,0
1601514000000,10788.30000000,10797.59000000,10786.74000000,10787.82000000,119.86032400,1601514299999,1293573.71641829,2004,65.66699000,708703.01687272,0
1601514300000,10787.82000000,10804.65000000,10786.82000000,10795.71000000,105.36427800,1601514599999,1137697.20967159,1891,47.54532500,513244.21794911,0
