open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1596240000000,11335.46000000,11389.00000000,11331.31000000,11376.83000000,421.94889400,1596240299999,4797522.41923433,4827,171.92649700,1954589.85014599,0
1596240300000,11376.83000000,11378.23000000,11360.00000000,11363.76000000,207.90916400,1596240599999,2363573.03141998,2810,73.38907300,834372.39446879,0
1596240600000,11363.56000000,11363.56000000,11291.20000000,11316.99000000,399.40685400,1596240899999,4523351.35289565,6241,125.60108300,1422682.72937295,0
1596240900000,11317.01000000,11335.43000000,11312.65000000,11320.00000000,147.39891400,1596241199999,1669333.33491973,3396,63.56687500,719938.46326555,0
1596241200000,11320.23000000,11320.29000000,11282.42000000,11282.87000000,267.10834100,1596241499999,3017932.97770720,3945,102.32093100,1155933.67818716,0
1596241500000,11282.88000000,11290.75000000,11220.00000000,11268.00000000,660.37906200,1596241799999,7433694.77314512,6878,248.09546400,2791890.34437918,0
1596241800000,11268.00000000,11269.01000000,11232.14000000,11249.99000000,203.75826000,1596242099999,2292709.27864855,3919,74.66758200,840216.69808386,0
1596242100000,11250.00000000,11252.56000000,11220.00000000,11250.06000000,254.69743900,1596242399999,2861617.44713546,3833,121.74899000,1367726.53164798,0
1596242400000,11250.14000000,11268.28000000,11250.00000000,11268.28000000,200.54684200,1596242699999,2257774.37890856,2619,78.67610600,885775.11056350,0
1596242700000,11268.27000000,11279.64000000,11251.51000000,11278.03000000,121.91414500,1596242999999,1373683.68180057,2030,81.68504600,920486.35463328,0
1596243000000,11278.33000000,11279.51000000,11263.73000000,11263.80000000,134.58643400,1596243299999,1517195.14829776,2492,45.06071200,507965.70841385,0
1596243300000,11263.81000000,11264.68000000,11235.24000000,11248.35000000,172.51713900,1596243599999,1941417.02596748,2498,73.93125000,831816.36120292,0
1596243600000,11247.86000000,11248.56000000,11226.23000000,11238.94000000,151.57612600,1596243899999,1703510.47278332,2818,55.61014300,625068.47465491,0
1596243900000,11238.77000000,11294.00000000,11238.75000000,11279.69000000,212.34936400,1596244199999,2392964.69634218,3038,116.67974500,1314941.34059034,0
1596244200000,11279.68000000,11281.17000000,11258.99000000,11268.78000000,109.56598900,1596244499999,1235106.44166571,2177,51.94192300,585471.37685652,0
1596244500000,11268.79000000,11290.09000000,11268.01000000,11289.79000000,94.64310400,1596244799999,1067445.19046101,1927,45.74455900,515906.03790867,0
1596244800000,11289.79000000,11289.85000000,11280.00000000,11289.36000000,155.57736900,1596245099999,1755585.66292154,1838,36.08495200,407205.51615157,0
1596245100000,11289.36000000,11291.83000000,11284.44000000,11284.84000000,123.51264400,1596245399999,1394333.28272609,1764,40.84998400,461154.99152930,0
1596245400000,11284.84000000,11290.00000000,11274.18000000,11281.69000000,198.92511900,1596245699999,2244596.25986113,2545,96.74066700,1091556.85346964,0
1596245700000,11282.20000000,11303.03000000,11280.16000000,11297.55000000,158.77161500,1596245999999,1792597.57928352,2248,65.47372000,739299.25153047,0
1596246000000,11297.32000000,11297.55000000,11275.01000000,11277.14000000,149.29143800,1596246299999,1684933.21375204,2261,50.55225800,570453.83675051,0
1596246300000,11277.14000000,11277.15000000,11265.66000000,11267.10000000,118.73086100,1596246599999,1338124.67404765,2071,44.56138700,502220.31458859,0
1596246600000,11267.09000000,11272.35000000,11261.25000000,11263.55000000,99.97550900,1596246899999,1126431.27831343,1794,29.80654200,335820.51210323,0
1596246900000,11263.46000000,11272.96000000,11262.75000000,11266.97000000,112.81594300,1596247199999,1271256.59751975,2613,63.90815700,720158.12895065,0
1596247200000,11266.97000000,11281.20000000,11258.71000000,11280.54000000,136.10884300,1596247499999,1534189.54756064,3419,55.48705400,625466.77856842,0
1596247500000,11280.54000000,11297.04000000,11274.51000000,11295.00000000,157.20576400,1596247799999,1773963.89926244,2229,63.38846500,715142.10924450,0
1596247800000,11295.01000000,11300.85000000,11290.00000000,11299.99000000,157.13158500,1596248099999,1774989.57044979,2217,58.73111300,663456.79803458,0
1596248100000,11300.00000000,11302.53000000,11292.16000000,11293.00000000,114.47021700,1596248399999,1293398.42115587,1897,33.90379600,383068.91527014,0
1596248400000,11293.00000000,11320.24000000,11283.59000000,11315.00000000,250.54979800,1596248699999,2833467.64970560,3301,98.02548300,1108439.68697238,0
1596248700000,11315.00000000,11318.59000000,11306.27000000,11311.69000000,169.88904600,1596248999999,1922158.40366217,2904,33.20881000,375680.27007176,0
1596249000000,11311.69000000,11316.54000000,11308.69000000,11309.84000000,174.37928600,1596249299999,1972559.05024328,2378,55.72845900,630421.50553597,0
1596249300000,11309.84000000,11323.00000000,11303.88000000,11322.36000000,174.72819000,1596249599999,1976937.49869880,2284,56.13688400,635100.55754501,0
1596249600000,11322.37000000,11340.00000000,11320.01000000,11338.42000000,232.46361700,1596249899999,2633393.02486305,3629,108.95237100,1234452.09811975,0
1596249900000,11338.42000000,11344.22000000,11322.62000000,11327.14000000,223.91412100,1596250199999,2538427.58385728,3091,70.65553100,801071.45442126,0
1596250200000,11327.14000000,11342.37000000,11320.63000000,11338.98000000,160.95947000,1596250499999,1823793.28739073,2925,43.38210500,491615.10541376,0
1596250500000,11338.98000000,11345.32000000,11331.50000000,11334.81000000,143.86761400,1596250799999,1631315.19103251,2267,35.68745500,404627.44431575,0
1596250800000,11334.91000000,11334.91000000,11321.82000000,11330.77000000,172.69224600,1596251099999,1956180.16988649,2542,70.78460500,801873.12989737,0
1596251100000,11330.92000000,11335.05000000,11318.59000000,11333.32000000,96.79801500,1596251399999,1096457.67735232,1826,30.40214000,344326.01885097,0
1596251400000,11333.31000000,11359.19000000,11332.78000000,11353.40000000,204.87100100,1596251699999,2325505.91152491,3080,114.31899200,1297600.34892531,0
1596251700000,11353.11000000,11363.06000000,11338.07000000,11358.50000000,222.50542800,1596251999999,2525381.26944604,3282,85.30254600,968321.01172237,0
1596252000000,11358.50000000,11374.90000000,11357.56000000,11359.26000000,189.46685400,1596252299999,2153578.85799666,2892,74.16502400,843058.44749045,0
1596252300000,11359.26000000,11378.76000000,11358.64000000,11377.01000000,154.05389500,1596252599999,1750979.79999891,1848,73.89209000,839887.44806853,0
1596252600000,11377.01000000,11380.00000000,11356.84000000,11360.96000000,255.91490100,1596252899999,2909044.55288645,2407,72.59768200,825406.84219454,0
1596252900000,11360.96000000,11377.02000000,11354.92000000,11377.01000000,203.13815000,1596253199999,2308580.19405589,2965,78.99492300,898052.25209147,0
1596253200000,11377.02000000,11405.93000000,11376.16000000,11394.15000000,480.18762400,1596253499999,5469438.23419428,4292,329.55424000,3753896.30592800,0
1596253500000,11394.16000000,11394.18000000,11372.62000000,11383.68000000,197.61617200,1596253799999,2249080.86738061,2834,60.86936500,692713.18204910,0
1596253800000,11383.72000000,11399.64000000,11383.72000000,11394.44000000,186.61946200,1596254099999,2126270.05471398,2185,64.07338400,730016.80324578,0
1596254100000,11394.44000000,11394.45000000,11351.95000000,11366.16000000,323.29696100,1596254399999,3676484.46819992,3699,116.97242700,1330179.22220282,0
1596254400000,11366.16000000,11366.16000000,11335.00000000,11336.46000000,286.99347600,1596254699999,3256534.35005785,3870,92.38104900,1048149.48243895,0
