open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1643673600000,38466.90000000,38467.76000000,38310.61000000,38432.84000000,161.64577000,1643673899999,6205537.49261850,3846,69.44364000,2665612.51439010,0
1643673900000,38432.84000000,38627.35000000,38414.26000000,38595.71000000,171.20156000,1643674199999,6596866.49394630,3914,96.94668000,3735596.01318660,0
1643674200000,38595.70000000,38597.61000000,38497.68000000,38497.68000000,75.05666000,1643674499999,2892980.76972760,2676,35.93360000,1384900.80805660,0
1643674500000,38497.69000000,38516.72000000,38301.35000000,38343.26000000,136.60176000,1643674799999,5245348.71751090,3778,53.60626000,2057740.15451660,0
1643674800000,38343.26000000,38437.50000000,38300.69000000,38413.81000000,69.47041000,1643675099999,2663998.38884010,2121,27.41400000,1051507.64792670,0
1643675100000,38413.81000000,38445.92000000,38403.07000000,38439.57000000,55.24327000,1643675399999,2122465.23913670,1633,33.44972000,1285151.08742980,0
1643675400000,38437.50000000,38469.99000000,38368.87000000,38392.59000000,62.25994000,1643675699999,2391643.31829060,1969,32.96123000,1266036.02248700,0
1643675700000,38392.58000000,38401.58000000,38324.92000000,38325.87000000,54.16664000,1643675999999,2077445.90862360,1869,20.49530000,786017.68967720,0
1643676000000,38325.88000000,38335.87000000,38291.71000000,38306.87000000,70.18328000,1643676299999,2688950.41485770,2152,25.69378000,984434.66264620,0
1643676300000,38306.86000000,38370.58000000,38276.43000000,38325.00000000,91.01187000,1643676599999,3486745.67511100,2504,49.02586000,1878219.19040020,0
1643676600000,38324.99000000,38361.58000000,38324.99000000,38338.23000000,59.07759000,1643676899999,2265035.93022220,1672,34.53389000,1323994.42706650,0
1643676900000,38338.23000000,38353.27000000,38297.78000000,38342.36000000,52.50724000,1643677199999,2012119.90010910,1524,27.67663000,1060584.40539010,0
1643677200000,38342.37000000,38378.83000000,38304.01000000,38325.78000000,71.73883000,1643677499999,2750416.25231040,2198,35.83470000,1373838.12298880,0
1643677500000,38325.78000000,38407.00000000,38307.94000000,38366.93000000,65.34489000,1643677799999,2506203.96287850,2048,35.59959000,1365174.58529290,0
1643677800000,38368.46000000,38391.71000000,38351.88000000,38373.96000000,51.63945000,1643678099999,1981344.89676700,1622,28.07899000,1077323.23973410,0
1643678100000,38369.02000000,38385.68000000,38321.18000000,38329.60000000,55.47631000,1643678399999,2127155.13389410,1837,21.20119000,812811.50334310,0
1643678400000,38329.60000000,38339.95000000,38315.00000000,38318.30000000,39.05452000,1643678699999,1496759.71171700,1391,17.09716000,655244.27410460,0
1643678700000,38318.31000000,38333.13000000,38277.14000000,38305.21000000,56.46362000,1643678999999,2163195.59763370,1870,23.06101000,883482.85790410,0
1643679000000,38305.21000000,38322.65000000,38283.16000000,38283.17000000,71.94870000,1643679299999,2755453.13984400,2062,31.10461000,1191203.72609850,0
1643679300000,38283.16000000,38319.43000000,38282.40000000,38317.85000000,35.68701000,1643679599999,1366748.77269950,1812,17.37151000,665269.18961610,0
1643679600000,38317.86000000,38330.47000000,38275.67000000,38283.37000000,47.97788000,1643679899999,1837603.42951980,1898,27.31702000,1046350.59666370,0
1643679900000,38283.36000000,38300.00000000,38176.90000000,38188.64000000,148.06651000,1643680199999,5658899.12734640,3768,61.49520000,2350020.97606300,0
1643680200000,38188.65000000,38276.67000000,38175.86000000,38210.74000000,77.56523000,1643680499999,2963839.83966650,2242,47.06978000,1798475.29442640,0
1643680500000,38210.74000000,38272.01000000,38210.74000000,38238.19000000,56.90015000,1643680799999,2176120.99992380,1878,32.08737000,1227196.46829500,0
1643680800000,38238.18000000,38300.00000000,38226.05000000,38241.37000000,45.02631000,1643681099999,1722493.28390230,2011,21.61002000,826706.38285890,0
1643681100000,38241.38000000,38279.20000000,38196.61000000,38243.72000000,100.00376000,1643681399999,3823682.77053000,2406,62.53202000,2391252.86014780,0
1643681400000,38243.73000000,38310.99000000,38241.02000000,38294.99000000,119.87027000,1643681699999,4589535.56842360,4737,74.78113000,2863060.35280630,0
1643681700000,38294.99000000,38354.80000000,38294.99000000,38340.39000000,80.86296000,1643681999999,3100017.94881200,2194,51.33938000,1968110.95287050,0
1643682000000,38340.39000000,38373.91000000,38336.33000000,38369.55000000,40.60949000,1643682299999,1557411.80330540,1643,22.49713000,862801.88932420,0
1643682300000,38369.55000000,38426.92000000,38365.57000000,38365.57000000,75.40198000,1643682599999,2894530.14523710,1972,48.23182000,1851450.51770950,0
1643682600000,38367.74000000,38449.11000000,38353.96000000,38440.45000000,51.81956000,1643682899999,1988891.28468270,1928,33.55829000,1288015.59765020,0
1643682900000,38440.45000000,38506.18000000,38414.11000000,38489.61000000,97.74801000,1643683199999,3759521.49005240,2863,50.60341000,1946482.16406100,0
1643683200000,38489.61000000,38504.53000000,38430.98000000,38452.00000000,48.96660000,1643683499999,1883286.93048470,1790,22.31414000,858167.60311720,0
1643683500000,38449.09000000,38469.03000000,38430.98000000,38440.83000000,26.84005000,1643683799999,1032047.12024950,1392,10.92652000,420137.37485040,0
1643683800000,38440.83000000,38500.00000000,38413.02000000,38426.31000000,49.47682000,1643684099999,1902515.21931080,1855,30.94228000,1189702.08314080,0
1643684100000,38426.31000000,38484.96000000,38425.66000000,38480.90000000,30.21266000,1643684399999,1161620.75118720,1518,15.51174000,596375.48825770,0
1643684400000,38480.90000000,38480.91000000,38384.99000000,38402.95000000,51.97389000,1643684699999,1997095.72483390,2101,16.41933000,630782.44792540,0
1643684700000,38402.94000000,38546.93000000,38397.51000000,38503.77000000,80.60181000,1643684999999,3102031.90900350,3217,46.98587000,1808339.73468910,0
1643685000000,38503.78000000,38552.10000000,38491.58000000,38543.86000000,71.45933000,1643685299999,2753406.57368320,2856,39.68859000,1529173.50870780,0
1643685300000,38543.85000000,38553.94000000,38476.45000000,38513.99000000,53.11967000,1643685599999,2045894.04849840,2215,24.34384000,937543.12138980,0
